epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.49675801396369934,0.4967554807662964,0.4967554807662964,0.5,0.5,0.5436422824859619,0.5042397379875183,0.42341089248657227
1,0.4357174336910248,0.5,0.5,0.5,0.5,0.5,0.5049341917037964,0.2881922721862793
2,0.3997138738632202,0.5,0.5,0.5,0.5068932175636292,0.5,0.6069079041481018,0.3036017417907715
3,0.37141814827919006,0.5,0.5,0.5,0.5620388388633728,0.5,0.7447003126144409,0.27871203422546387
4,0.34759849309921265,0.5,0.5,0.5492424368858337,0.6310436725616455,0.5208333134651184,0.8069078922271729,0.29171204566955566
5,0.32735317945480347,0.5,0.5,0.6325757503509521,0.7249029278755188,0.5625,0.846893310546875,0.33010411262512207
6,0.3099510967731476,0.5,0.5,0.7007575631141663,0.7642233371734619,0.6145833134651184,0.8642909526824951,0.34145188331604004
7,0.29478731751441956,0.5,0.5,0.7494394779205322,0.8273301124572754,0.6869611740112305,0.878399133682251,0.3224027156829834
8,0.28139811754226685,0.5,0.5,0.7916666269302368,0.8347572684288025,0.7447916865348816,0.8816885948181152,0.35099172592163086
9,0.26943323016166687,0.5208333134651184,0.5208333134651184,0.8333333730697632,0.8597573041915894,0.78125,0.887061357498169,0.2889862060546875

10,0.2586335837841034,0.5208333134651184,0.5208333134651184,0.8674242496490479,0.8728640675544739,0.8177083730697632,0.8914839029312134,0.2742936611175537
11,0.24880294501781464,0.5625,0.5625,0.8863636255264282,0.8853640556335449,0.8229166269302368,0.9067251682281494,0.3094909191131592

12,0.239789217710495,0.59375,0.59375,0.9128787517547607,0.8978641033172607,0.84375,0.913998544216156,0.28301048278808594

13,0.23147086799144745,0.6145833134651184,0.6145833134651184,0.9280303120613098,0.9078640937805176,0.8541666269302368,0.9372075796127319,0.2855489253997803

14,0.22375176846981049,0.6354166865348816,0.6354166865348816,0.9318181872367859,0.9215776920318604,0.875,0.9449195861816406,0.28481221199035645

15,0.21655549108982086,0.65625,0.65625,0.939393937587738,0.9240776300430298,0.890625,0.9519371390342712,0.3039515018463135

16,0.20982065796852112,0.65625,0.65625,0.9469696879386902,0.9308980703353882,0.8958333730697632,0.9575657844543457,0.30393385887145996
17,0.2034958451986313,0.6979166865348816,0.6979166865348816,0.9507575631141663,0.9340048432350159,0.8958333730697632,0.9619883298873901,0.3077068328857422

18,0.19754113256931305,0.6979166865348816,0.6979166865348816,0.9545454978942871,0.9377184510231018,0.90625,0.9706505537033081,0.29985857009887695
19,0.19192060828208923,0.71875,0.71875,0.9583333730697632,0.940218448638916,0.9270833730697632,0.9795687198638916,0.2953963279724121

20,0.1866055727005005,0.7286543846130371,0.7286543846130371,0.9621212482452393,0.9458252191543579,0.9427083730697632,0.984502911567688,0.28861045837402344
21,0.1815701723098755,0.7390710115432739,0.7390710115432739,0.9621212482452393,0.9508252143859863,0.9479166269302368,0.984502911567688,0.29248499870300293

22,0.17679226398468018,0.7599043846130371,0.7599043846130371,0.9621212482452393,0.9539320468902588,0.953125,0.984502911567688,0.2937431335449219

23,0.172252357006073,0.7593920230865479,0.7593920230865479,0.9659091234207153,0.9551455974578857,0.9583333730697632,0.984502911567688,0.28199148178100586
24,0.16793374717235565,0.7593920230865479,0.7593920230865479,0.9696969985961914,0.9563592672348022,0.9635416269302368,0.9894371032714844,0.2854318618774414
25,0.16382092237472534,0.7797131538391113,0.7797131538391113,0.9696969985961914,0.9600728154182434,0.96875,0.9910818338394165,0.30299973487854004

26,0.15990041196346283,0.7901297807693481,0.7901297807693481,0.9696969985961914,0.9650728106498718,0.96875,0.9910818338394165,0.4070911407470703

27,0.156159445643425,0.7896174788475037,0.7896174788475037,0.9696969985961914,0.9700728058815002,0.9791666269302368,0.9927265644073486,0.3174424171447754
28,0.15258625149726868,0.8104507923126221,0.8104507923126221,0.9772727489471436,0.9700728058815002,0.984375,0.9936769008636475,0.2834291458129883

29,0.14916987717151642,0.8208674788475037,0.8208674788475037,0.9772727489471436,0.9700728058815002,0.984375,0.9936769008636475,0.2821359634399414

30,0.1459008753299713,0.8208674788475037,0.8208674788475037,0.9772727489471436,0.9700728058815002,0.9895833730697632,0.9936769008636475,0.411332368850708
31,0.14276987314224243,0.8312841653823853,0.8312841653823853,0.9772727489471436,0.9725728034973145,0.9947916269302368,0.9936769008636475,0.2881660461425781

32,0.1397685706615448,0.8312841653823853,0.8312841653823853,0.9772727489471436,0.9775727987289429,0.9947916269302368,0.9936769008636475,0.4210331439971924
33,0.13688890635967255,0.8312841653823853,0.8312841653823853,0.9772727489471436,0.9825727939605713,0.9947916269302368,0.9953216314315796,0.29569077491760254
34,0.13412369787693024,0.8312841653823853,0.8312841653823853,0.9772727489471436,0.9875727891921997,1.0,0.9969663619995117,0.30463743209838867
35,0.13146629929542542,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.9900728464126587,1.0,0.9976608157157898,0.3134901523590088

36,0.12891045212745667,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.9900728464126587,1.0,0.9976608157157898,0.42745089530944824
37,0.1264503449201584,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.9925727844238281,1.0,0.9983552694320679,0.4202914237976074
38,0.12408077716827393,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.9981796145439148,1.0,0.9983552694320679,0.2876582145690918
39,0.12179664522409439,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.998786449432373,1.0,0.9983552694320679,0.2943854331970215
40,0.11959364265203476,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.998786449432373,1.0,0.9983552694320679,0.419827938079834
41,0.1174672320485115,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.998786449432373,1.0,0.9983552694320679,0.291046142578125
42,0.11541354656219482,0.8526297807693481,0.8526297807693481,0.9772727489471436,0.9993932247161865,1.0,0.9983552694320679,0.2982501983642578
43,0.11342877894639969,0.8630464673042297,0.8630464673042297,0.9772727489471436,0.9993932247161865,1.0,0.9983552694320679,0.4110140800476074

44,0.11150945723056793,0.8734631538391113,0.8734631538391113,0.9772727489471436,0.9993932247161865,1.0,1.0,0.31580209732055664

45,0.10965248942375183,0.8843920230865479,0.8843920230865479,0.9772727489471436,1.0,1.0,1.0,0.35959720611572266

46,0.10785478353500366,0.8843920230865479,0.8843920230865479,0.9772727489471436,1.0,1.0,1.0,0.2846221923828125
47,0.10611357539892197,0.8948087692260742,0.8948087692260742,0.9772727489471436,1.0,1.0,1.0,0.28324031829833984

48,0.1044263169169426,0.8948087692260742,0.8948087692260742,0.9772727489471436,1.0,1.0,1.0,0.2983584403991699
49,0.10279042273759842,0.8948087692260742,0.8948087692260742,0.9772727489471436,1.0,1.0,1.0,0.2828984260559082
50,0.10120367258787155,0.8948087692260742,0.8948087692260742,0.9772727489471436,1.0,1.0,1.0,0.29557180404663086

51,0.09966380894184113,0.8953210115432739,0.8953210115432739,0.9772727489471436,1.0,1.0,1.0,0.3027181625366211
52,0.09816886484622955,0.8953210115432739,0.8953210115432739,0.9772727489471436,1.0,1.0,1.0,0.4164407253265381
53,0.09671684354543686,0.8953210115432739,0.8953210115432739,0.9810606241226196,1.0,1.0,1.0,0.3147709369659424
54,0.095305897295475,0.8953210115432739,0.8953210115432739,0.9848484992980957,1.0,1.0,1.0,0.3036539554595947
55,0.09393423795700073,0.9057376980781555,0.9057376980781555,0.9848484992980957,1.0,1.0,1.0,0.27826428413391113

56,0.0926002562046051,0.9161543846130371,0.9161543846130371,0.9848484992980957,1.0,1.0,1.0,0.29453516006469727

57,0.0913025289773941,0.9265710115432739,0.9265710115432739,0.9848484992980957,1.0,1.0,1.0,0.28049206733703613

58,0.0900394544005394,0.9265710115432739,0.9265710115432739,0.9848484992980957,1.0,1.0,1.0,0.28620100021362305
59,0.08880975097417831,0.9369876980781555,0.9369876980781555,0.9886363744735718,1.0,1.0,1.0,0.28723597526550293

60,0.08761212229728699,0.9369876980781555,0.9369876980781555,0.9924242496490479,1.0,1.0,1.0,0.2916905879974365
61,0.08644533902406693,0.9369876980781555,0.9369876980781555,0.9924242496490479,1.0,1.0,1.0,0.30414342880249023
62,0.08530814945697784,0.9369876980781555,0.9369876980781555,0.9962121248245239,1.0,1.0,1.0,0.31115269660949707
63,0.08419950306415558,0.9369876980781555,0.9369876980781555,0.9962121248245239,1.0,1.0,1.0,0.3245267868041992
64,0.08311836421489716,0.9474043846130371,0.9474043846130371,0.9962121248245239,1.0,1.0,1.0,0.29471659660339355

65,0.08206373453140259,0.9474043846130371,0.9474043846130371,0.9962121248245239,1.0,1.0,1.0,0.30314064025878906
66,0.0810345932841301,0.9474043846130371,0.9474043846130371,0.9962121248245239,1.0,1.0,1.0,0.2919495105743408
67,0.08003011345863342,0.9474043846130371,0.9474043846130371,0.9962121248245239,1.0,1.0,1.0,0.2806992530822754
68,0.07904937118291855,0.9474043846130371,0.9474043846130371,0.9962121248245239,1.0,1.0,1.0,0.2905564308166504
69,0.0780915692448616,0.9578210115432739,0.9578210115432739,1.0,1.0,1.0,1.0,0.2866780757904053

70,0.07715588063001633,0.9578210115432739,0.9578210115432739,1.0,1.0,1.0,1.0,0.3149738311767578
71,0.07624153792858124,0.9682376980781555,0.9682376980781555,1.0,1.0,1.0,1.0,0.31250596046447754

72,0.07534785568714142,0.9791666269302368,0.9791666269302368,1.0,1.0,1.0,1.0,0.3189232349395752

73,0.07447414100170135,0.9791666269302368,0.9791666269302368,1.0,1.0,1.0,1.0,0.3226759433746338
74,0.07361970096826553,0.9791666269302368,0.9791666269302368,1.0,1.0,1.0,1.0,0.30296969413757324
75,0.07278396934270859,0.9791666269302368,0.9791666269302368,1.0,1.0,1.0,1.0,0.28479623794555664

76,0.07196628302335739,0.9791666269302368,0.9791666269302368,1.0,1.0,1.0,1.0,0.2911839485168457
77,0.07116608321666718,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.2826058864593506

78,0.07038284093141556,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.28557705879211426
79,0.06961597502231598,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.29909801483154297
80,0.06886500865221024,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.3002021312713623
81,0.06812945008277893,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.30176877975463867
82,0.06740885227918625,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.3276076316833496
83,0.06670278310775757,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.3161284923553467
84,0.06601078808307648,0.9895833730697632,0.9895833730697632,1.0,1.0,1.0,1.0,0.2902979850769043
85,0.06533241271972656,1.0,1.0,1.0,1.0,1.0,1.0,0.28675293922424316

