epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.1997319459915161,0.6853691339492798,0.8941787481307983,0.6853691339492798,0.9110168218612671,0.7469896078109741,nan,965.8782913684845,0.9975058926173619
1,0.12172053754329681,0.9626106023788452,0.982824444770813,0.9700742959976196,0.9733918905258179,0.9626106023788452,nan,952.5123455524445,0.9975893064553397

2,0.09022760391235352,0.976101279258728,0.9900177717208862,0.9836538434028625,0.9845503568649292,0.976101279258728,nan,953.0052108764648,0.9981196217673165
3,0.07306689023971558,0.9816911220550537,0.992519199848175,0.9868184328079224,0.9883608818054199,0.9816911220550537,nan,964.8443877696991,0.9984661650739397
4,0.06218953803181648,0.9834781289100647,0.993715226650238,0.9891419410705566,0.9903932809829712,0.9834781289100647,nan,952.8760824203491,0.9987867443084717

5,0.054527271538972855,0.9861442446708679,0.9946595430374146,0.990273654460907,0.9917144179344177,0.9861442446708679,nan,952.8871977329254,0.9990134223066057

