epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,elapsed,mean_valid
0,0.18645289540290833,0.4999753534793854,0.5004781484603882,0.4999753534793854,0.5003069043159485,0.4999758005142212,961.7314989566803,0.999358449935913
1,0.2062833309173584,0.5,0.5,0.5,0.5,0.5,971.99982213974,0.9996894597952707
2,0.2128932923078537,0.5,0.5,0.5,0.5,0.5,982.3470494747162,0.9996894597952707
3,0.21619808673858643,0.5,0.5,0.5,0.5,0.5,975.4586217403412,0.9996894597952707
4,0.21818193793296814,0.5,0.5,0.5,0.5,0.5,996.9464380741119,0.9996894597952707
5,0.21950450539588928,0.5,0.5,0.5,0.5,0.5,976.9481456279755,0.9996894597952707

