epoch,loss,epoch_elapsed
0,0.03324073180556297,871.7589707374573
1,0.014281290583312511,870.5628108978271
2,0.010124224238097668,863.9745750427246
3,0.009604674763977528,864.9701588153839
4,0.009376847185194492,865.2579941749573
5,0.009075494483113289,869.8336365222931
6,0.008988616988062859,869.0055360794067
7,0.00871689710766077,868.1898221969604
8,0.009276640601456165,873.7384223937988
9,0.008639245294034481,869.7848796844482
10,0.008605869486927986,871.1752705574036
11,0.00851947907358408,870.3359224796295
12,0.008488181978464127,865.0898115634918
13,0.008449317887425423,866.0738263130188
14,0.008520260453224182,865.2486996650696
15,0.008433795534074306,865.3574895858765
16,0.008400967344641685,864.5109770298004
17,0.008600607514381409,865.0634236335754
18,0.008394821546971798,865.5122218132019
