epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.22718705236911774,0.6881758570671082,0.8446632623672485,0.6881758570671082,0.8914903402328491,0.7026639580726624,nan,950.2913014888763,0.9988447636277336
1,0.14684803783893585,0.9351885318756104,0.9674026370048523,0.9592304229736328,0.9584407806396484,0.9351885318756104,nan,937.2328336238861,0.9990319560677665
2,0.11100611835718155,0.9636366367340088,0.9827564358711243,0.9790812730789185,0.9779592156410217,0.9636366367340088,nan,972.7726619243622,0.9991885327148438

3,0.09158290922641754,0.9701025485992432,0.9859433174133301,0.9827619791030884,0.9828368425369263,0.9701025485992432,nan,952.1707582473755,0.9991192537144252

4,0.07856739312410355,0.9763767123222351,0.9895392656326294,0.9869398474693298,0.9862899780273438,0.9763767123222351,nan,937.9072182178497,0.9990802606637137
5,0.06933385133743286,0.9792599678039551,0.9916027188301086,0.9887332916259766,0.9886060357093811,0.9792599678039551,nan,939.1849901676178,0.9989930067334857

