,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
max,0.4888642430305481,0.26913896203041077,0.3478546440601349,0.2240341305732727,0.2167099565267563,0.820319652557373,0.5062671899795532,0.6413195133209229,0.6021562814712524,0.2828170955181122,0.4095984697341919,0.7043954730033875,0.5792830586433411
max_encoding,N[7],N[8],N[9],N[8],N[6],N[7],N[7],N[8],N[8],N[8],N[6],N[8],N[5]
min,-0.4983215034008026,-0.57353675365448,-0.6042226552963257,-0.48478201031684875,-0.5394562482833862,-0.25613170862197876,-0.16493278741836548,-0.33295103907585144,-0.5052369832992554,-0.34635862708091736,-0.6858853697776794,-0.4862407445907593,-0.3386472761631012
min_encoding,N[2],N[3],N[0],N[5],N[2],N[2],N[2],N[9],N[0],N[0],N[2],N[0],N[0]
