epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.1581784337759018,0.7256391048431396,0.9140781760215759,0.7256391048431396,0.9146982431411743,0.8160563707351685,nan,919.6617708206177,0.9989385636901855
1,0.08882417529821396,0.9827475547790527,0.9927530288696289,0.9827475547790527,0.9911737442016602,0.983353853225708,nan,913.2803707122803,0.9999869506399972

2,0.06316915154457092,0.9903672933578491,0.9952231645584106,0.9903672933578491,0.9946770668029785,0.9918038249015808,nan,918.3481688499451,0.9999954762050084
3,0.049683280289173126,0.9924817085266113,0.9965929985046387,0.9924817085266113,0.9960269927978516,0.9938443899154663,nan,923.7336528301239,0.9999984418051583

4,0.04131220653653145,0.9939863681793213,0.997063159942627,0.9939863681793213,0.9967029690742493,0.9949697256088257,nan,918.2001676559448,0.9999983958871024
5,0.035673271864652634,0.9943933486938477,0.9972584247589111,0.9943933486938477,0.9970536231994629,0.995276689529419,nan,908.1327829360962,0.9999990644182478
6,0.031574320048093796,0.9946951270103455,0.9975779056549072,0.9946951270103455,0.997355043888092,0.9956231117248535,nan,916.9218864440918,0.9999989758082799
7,0.02846258319914341,0.9947905540466309,0.9976809024810791,0.9947905540466309,0.9974656701087952,0.9958828687667847,nan,910.5805416107178,0.9999979329463414
8,0.026064492762088776,0.9949473142623901,0.9979283213615417,0.9949473142623901,0.9975717067718506,0.9959996342658997,nan,903.2269082069397,0.9999917549787248
9,0.024021290242671967,0.9956833124160767,0.9980311393737793,0.9956833124160767,0.9977540969848633,0.996484637260437,nan,902.1754970550537,0.9999923139299666
10,0.022392405197024345,0.9959537982940674,0.9979538917541504,0.9959537982940674,0.9978327751159668,0.9964919090270996,nan,909.7383062839508,0.9999962072971889

11,0.021011296659708023,0.9954509735107422,0.9981570243835449,0.9954509735107422,0.9979056119918823,0.9964842200279236,nan,904.7884097099304,0.9999927383422852
12,0.019833417609333992,0.995611310005188,0.9982213377952576,0.995611310005188,0.9979891777038574,0.9964216351509094,nan,902.0443427562714,0.9999928003256662
13,0.018829908221960068,0.9955366253852844,0.9980107545852661,0.9955366253852844,0.9979755878448486,0.9964498281478882,nan,900.9055843353271,0.9999946166665213
14,0.01799160987138748,0.9955832958221436,0.9981415271759033,0.9955832958221436,0.9980688095092773,0.9966170787811279,nan,908.9964997768402,0.9999959650094169
15,0.017191683873534203,0.9958564043045044,0.9983652234077454,0.9958564043045044,0.9981844425201416,0.9967089891433716,nan,903.8736617565155,0.9999982802472795
16,0.01655104197561741,0.9958850145339966,0.9982843399047852,0.9958850145339966,0.9980469942092896,0.9966019988059998,nan,900.3765313625336,0.999998636681693
17,0.01596342772245407,0.995699405670166,0.9984081983566284,0.995699405670166,0.998185396194458,0.996636688709259,nan,901.5854480266571,0.9999989624023438
18,0.015486827120184898,0.995337963104248,0.9981493949890137,0.995337963104248,0.9981015920639038,0.9966297149658203,nan,908.4838347434998,0.9999993468802316
19,0.015250756405293941,0.9942675828933716,0.9979846477508545,0.9942675828933716,0.9977961182594299,0.9960031509399414,nan,903.9808986186981,0.9999997074672154
20,0.014974654652178288,0.9948388338088989,0.9979225397109985,0.9948388338088989,0.997753381729126,0.9959360361099243,nan,900.3900475502014,0.9999884328242711

