epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.26211977005004883,0.5913357734680176,0.8275082111358643,0.5913357734680176,0.8661208152770996,0.6664351224899292,nan,916.3879473209381,0.999345630405971
1,0.16525955498218536,0.9436776638031006,0.9678839445114136,0.9514840841293335,0.9593981504440308,0.9436776638031006,nan,910.0849554538727,0.998393340159825

2,0.12280229479074478,0.9727500677108765,0.9856084585189819,0.9810466766357422,0.979423999786377,0.9727500677108765,nan,908.5813806056976,0.9981199011884417
3,0.09977289289236069,0.9795889854431152,0.9892042875289917,0.9846631288528442,0.9848131537437439,0.9795889854431152,nan,929.576235294342,0.9982507930101667

4,0.0849609225988388,0.9837453961372375,0.9920459389686584,0.9877393245697021,0.9878002405166626,0.9837453961372375,nan,950.9528591632843,0.9984294261823382
5,0.07476966828107834,0.9850014448165894,0.992401123046875,0.9889088273048401,0.9890812635421753,0.9850014448165894,nan,924.9197494983673,0.9985681809888567
6,0.06719398498535156,0.9864392280578613,0.9932905435562134,0.9902517795562744,0.9902849793434143,0.9864392280578613,nan,938.8424305915833,0.998638466077532

7,0.06132913753390312,0.9876500368118286,0.9941244125366211,0.990863561630249,0.9910045862197876,0.9876500368118286,nan,963.1456060409546,0.9986593211909703
8,0.05673639103770256,0.9881014823913574,0.9942419528961182,0.9914414882659912,0.9914183616638184,0.9881014823913574,nan,947.0384695529938,0.9986111360822405
9,0.052971433848142624,0.9891546368598938,0.9944232702255249,0.9918168783187866,0.9919177293777466,0.9891546368598938,nan,951.385792016983,0.9986419695390973
10,0.050406765192747116,0.9862467050552368,0.9930013418197632,0.9900744557380676,0.9902685880661011,0.9862467050552368,nan,961.3299193382263,0.9983667125592913

11,0.04795018956065178,0.9885326623916626,0.9944256544113159,0.991597592830658,0.9915485382080078,0.9885326623916626,nan,945.572850227356,0.9984236897168841
12,0.045830048620700836,0.9889342784881592,0.9948181509971619,0.9920024871826172,0.991911768913269,0.9889342784881592,nan,947.6860971450806,0.9985408208901542
13,0.04402666911482811,0.9893815517425537,0.9945799112319946,0.9920812845230103,0.9917596578598022,0.9893815517425537,nan,964.8103094100952,0.9984167515345982
14,0.042640894651412964,0.988082766532898,0.9939790964126587,0.9911476373672485,0.9910238981246948,0.988082766532898,nan,947.7519156932831,0.9983632084437779
15,0.041433095932006836,0.9878565669059753,0.99418705701828,0.991724967956543,0.9912872910499573,0.9878565669059753,nan,947.7279748916626,0.9982136177498954
16,0.04049205780029297,0.9866571426391602,0.993854284286499,0.9906409978866577,0.9910805225372314,0.9866571426391602,nan,960.7577984333038,0.9983269514683315
17,0.03973078727722168,0.9863448143005371,0.9934228658676147,0.9909114837646484,0.9901958107948303,0.9863448143005371,nan,948.0437529087067,0.9982801429857526
18,0.03928164020180702,0.9837363958358765,0.9925483465194702,0.989155113697052,0.9894684553146362,0.9837363958358765,nan,949.3570830821991,0.9979994605691093
19,0.03917486220598221,0.9826362133026123,0.9908241629600525,0.9871765375137329,0.987096905708313,0.9826362133026123,nan,960.5878527164459,0.9978475493621826
20,0.03949161246418953,0.9765458106994629,0.9883508682250977,0.9842313528060913,0.9846529960632324,0.9765458106994629,nan,949.5927736759186,0.9974630872235979

11,0.019613519310951233,0.9885503053665161,0.9947450160980225,0.9924078583717346,0.9919273257255554,0.9885503053665161,nan,959.5119903087616,0.9985431298828125
12,0.019712770357728004,0.9886296987533569,0.9949134588241577,0.9917663335800171,0.9921828508377075,0.9886296987533569,nan,953.9032669067383,0.9985593152618408
13,0.02013315074145794,0.988124430179596,0.9946515560150146,0.9920814037322998,0.9918357133865356,0.988124430179596,nan,960.8146419525146,0.9985504632350377
14,0.020774317905306816,0.9876739382743835,0.9940976500511169,0.9914188385009766,0.9914112091064453,0.9876739382743835,nan,967.0092127323151,0.9984734499141148
15,0.021129081025719643,0.987820029258728,0.994671106338501,0.9919523000717163,0.9919357895851135,0.987820029258728,nan,959.4049642086029,0.9983521731458391
