epoch,loss,accuracy,epoch_elapsed,f1_score

0,0.4235437512397766,0.783577561378479,nan,0.7200947999954224
1,0.3198573589324951,0.8635531067848206,2.7943007946014404,0.8410948514938354
2,0.2628711760044098,0.892246663570404,2.747039794921875,0.8767887949943542
3,0.22175875306129456,0.9145299196243286,2.804596424102783,0.9023028612136841
4,0.18686626851558685,0.9346764087677002,2.7958695888519287,0.9245948195457458
5,0.15715613961219788,0.9536019563674927,2.836026668548584,0.9466292262077332
6,0.13340765237808228,0.9633699655532837,2.9199891090393066,0.9581881165504456
7,0.1148252785205841,0.966422438621521,3.1008520126342773,0.9615921378135681
8,0.10057113319635391,0.968559205532074,1.0197083950042725,0.964023768901825
9,0.08910883218050003,0.9703907370567322,2.8433964252471924,0.9660958051681519
10,0.07983353734016418,0.9728327393531799,3.4628965854644775,0.968870222568512
11,0.07195667922496796,0.9743589758872986,3.7354788780212402,0.9706088304519653
12,0.0649021565914154,0.9749694466590881,3.080390691757202,0.9712885022163391
13,0.058484550565481186,0.9777167439460754,2.8895058631896973,0.9744308590888977
14,0.05256259813904762,0.9832112193107605,2.855837345123291,0.9807624816894531
15,0.0470321886241436,0.9868742227554321,2.977874279022217,0.9850017428398132
16,0.04179181903600693,0.9899267554283142,2.7986268997192383,0.9884896874427795
17,0.036874037235975266,0.9914529919624329,2.7886035442352295,0.9902370572090149
18,0.03235567361116409,0.9935897588729858,1.136876106262207,0.9926854372024536
19,0.028235536068677902,0.9960317611694336,2.7409110069274902,0.995484471321106
20,0.024550430476665497,0.9969474673271179,2.76865553855896,0.9965301752090454
21,0.021327923983335495,0.997863233089447,2.856686592102051,0.9975736141204834
22,0.018499068915843964,0.9981684684753418,2.8568952083587646,0.9979210495948792
23,0.016048913821578026,0.9990842342376709,2.7587382793426514,0.9989615678787231
24,0.013948822394013405,0.9993894696235657,2.880730628967285,0.9993079304695129
25,0.012139233760535717,0.9996947646141052,2.7394847869873047,0.9996541142463684
26,0.010591043159365654,0.9996947646141052,2.724923610687256,0.9996541142463684
27,0.00924683827906847,0.9996947646141052,2.9697721004486084,0.9996541142463684
28,0.008103211410343647,0.9993894696235657,2.848557710647583,0.9993084073066711
29,0.007116047665476799,0.9993894696235657,0.9627459049224854,0.9993084073066711
30,0.006255066022276878,0.9996947646141052,2.7496612071990967,0.9996543526649475
31,0.0055001843720674515,0.9996947646141052,2.7523698806762695,0.9996543526649475
32,0.0048430138267576694,0.9996947646141052,2.855937957763672,0.9996543526649475
33,0.004276043735444546,0.9996947646141052,2.85113787651062,0.9996543526649475
34,0.003787708468735218,0.9996947646141052,2.767077922821045,0.9996543526649475
35,0.0033693283330649137,0.9996947646141052,2.7724196910858154,0.9996543526649475
36,0.002984746126458049,1.0,3.0280370712280273,1.0
37,0.0026520073879510164,1.0,3.3515753746032715,1.0
38,0.002365351654589176,1.0,2.7553930282592773,1.0
39,0.002128598978742957,1.0,2.8844120502471924,1.0
40,0.00190648902207613,1.0,1.0426111221313477,1.0
41,0.001696837367489934,1.0,2.8513545989990234,1.0
42,0.0015343461418524384,1.0,2.76041579246521,1.0
43,0.001380537636578083,1.0,2.7773120403289795,1.0
44,0.0012384398141875863,1.0,2.7742505073547363,1.0
