epoch,loss,epoch_elapsed
0,0.055095210671424866,875.8821575641632
1,0.023390309885144234,875.9224689006805
2,0.015410556457936764,874.8715589046478
3,0.011041451245546341,873.9421565532684
4,0.010210653766989708,870.0012967586517
5,0.009743216447532177,870.8422329425812
6,0.009412996470928192,871.007274389267
7,0.009275292977690697,878.3648495674133
8,0.009072650223970413,875.2736749649048
9,0.008878625929355621,874.3560769557953
10,0.00879580806940794,876.811324596405
11,0.008825288154184818,876.6231832504272
12,0.008702797815203667,878.0386760234833
13,0.008659273386001587,877.3487403392792
14,0.008622044697403908,875.2840690612793
15,0.008626253344118595,876.0209403038025
16,0.00857534445822239,876.4167103767395
17,0.009235392324626446,876.2285931110382
18,0.00860893726348877,875.9203934669495
19,0.008566734381020069,876.3912494182587
20,0.008532211184501648,875.881272315979
21,0.008531060069799423,877.3662219047546
22,0.008501449599862099,878.9403822422028
23,0.008472948335111141,873.6086061000824
24,0.008465982042253017,874.2768230438232
25,0.0084465853869915,870.9078006744385
26,0.008572776801884174,870.5868151187897
27,0.008529022336006165,872.0334210395813
28,0.008440833538770676,870.4702730178833
29,0.008419148623943329,873.7334861755371
