epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,elapsed,mean_valid
0,0.2836622893810272,0.49868738651275635,0.5001879930496216,0.49998271465301514,0.5004152059555054,0.49868738651275635,1001.8099474906921,0.04355970244681133
1,0.40721595287323,0.5,0.5,0.5,0.5,0.5,978.334743976593,0.0
2,0.44840025901794434,0.5,0.5,0.5,0.5,0.5,964.6793949604034,0.0
3,0.4689914286136627,0.5,0.5,0.5,0.5,0.5,965.7733960151672,0.0
4,0.48134589195251465,0.5,0.5,0.5,0.5,0.5,966.0793917179108,0.0
5,0.48958221077919006,0.5,0.5,0.5,0.5,0.5,974.1107354164124,0.0

