epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,elapsed,mean_valid
0,0.2155151665210724,0.49996575713157654,0.5002240538597107,0.5000027418136597,0.5008315443992615,0.49996575713157654,959.8278841972351,0.9991726095090594
1,0.24204063415527344,0.5,0.5,0.5,0.5,0.5,956.1115243434906,0.9991722106933594
2,0.2508827745914459,0.5,0.5,0.5,0.5,0.5,954.3024039268494,0.9991722106933594
3,0.2553035616874695,0.5,0.5,0.5,0.5,0.5,952.0110607147217,0.9991722106933594
4,0.25795605778694153,0.5,0.5,0.5,0.5,0.5,960.6119794845581,0.9991722106933594
5,0.25972452759742737,0.5,0.5,0.5,0.5,0.5,958.4169459342957,0.9991722106933594

