epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.6655867695808411,0.4933548867702484,0.563183069229126,0.5179711580276489,0.4944174885749817,0.4933548867702484,0.5,0.29994988441467285
1,0.5870304107666016,0.5,0.5,0.5,0.5,0.5,0.5,0.3068077564239502
2,0.52719646692276,0.5,0.5,0.5,0.5,0.5,0.5,0.3011434078216553
3,0.488600492477417,0.5,0.5,0.5,0.5,0.5,0.5049341917037964,0.31961941719055176
4,0.4595302939414978,0.5,0.5,0.5,0.5,0.5,0.5693348050117493,0.41803503036499023
5,0.43520572781562805,0.49757280945777893,0.5,0.5,0.49757280945777893,0.5,0.6970028877258301,0.42174243927001953
6,0.41404587030410767,0.5,0.5,0.5075757503509521,0.5160436630249023,0.5052083134651184,0.7655336260795593,0.42072033882141113
7,0.39550918340682983,0.5,0.5,0.531288206577301,0.590121328830719,0.5562140941619873,0.8076754212379456,0.43666934967041016
8,0.37932899594306946,0.5,0.5,0.5624405741691589,0.6583737730979919,0.6124281287193298,0.827741265296936,0.3113086223602295
9,0.3652110695838928,0.5,0.5,0.6121076345443726,0.6977670192718506,0.6305675506591797,0.8369151949882507,0.2837071418762207
10,0.35281112790107727,0.5,0.5,0.6363806128501892,0.7078397870063782,0.6607399582862854,0.8444444537162781,0.29709362983703613
11,0.34180259704589844,0.5,0.5,0.656305193901062,0.7472330331802368,0.6763649582862854,0.8538011312484741,0.31789731979370117
12,0.33191442489624023,0.5,0.5,0.6714566946029663,0.7822329998016357,0.6815732717514038,0.8624634742736816,0.2964446544647217
13,0.32292604446411133,0.5,0.5,0.693623423576355,0.7947329878807068,0.6977370977401733,0.8654971122741699,0.4087214469909668
14,0.3146659731864929,0.5,0.5,0.7038660049438477,0.8072329759597778,0.7092313170433044,0.8715643286705017,0.37540316581726074
15,0.3069990873336792,0.5,0.5,0.7082144618034363,0.8278398513793945,0.7306034564971924,0.8818713426589966,0.3259570598602295
16,0.2998215854167938,0.5,0.5,0.7233659625053406,0.840946614742279,0.7686781883239746,0.8869882822036743,0.3111124038696289
17,0.2930534780025482,0.5,0.5,0.7303811311721802,0.854660153388977,0.7807111740112305,0.894700288772583,0.3319418430328369
18,0.28663399815559387,0.5,0.5,0.7385174632072449,0.8627669811248779,0.8119611740112305,0.9077850580215454,0.4534773826599121
19,0.2805171012878418,0.5,0.5,0.7455326318740845,0.8783737421035767,0.8125,0.9206871390342712,0.4611029624938965
20,0.2746675908565521,0.5,0.5,0.769381046295166,0.8964805603027344,0.8177083730697632,0.9256213307380676,0.29360485076904297
21,0.2690580189228058,0.5,0.5,0.7801841497421265,0.9083009958267212,0.8333333730697632,0.9263157844543457,0.36278367042541504
22,0.26366910338401794,0.5,0.5,0.7839720249176025,0.919514536857605,0.859375,0.92960524559021,0.29423093795776367
23,0.25848448276519775,0.5,0.5,0.8072597980499268,0.9263349771499634,0.875,0.9335891604423523,0.35326194763183594
24,0.25348982214927673,0.5,0.5,0.8116082549095154,0.9275485277175903,0.875,0.9335891604423523,0.3633084297180176
25,0.24866925179958344,0.5104166865348816,0.5104166865348816,0.8267597556114197,0.9300485253334045,0.8958333730697632,0.9392178058624268,0.36800646781921387
26,0.24401044845581055,0.5104166865348816,0.5104166865348816,0.8316687345504761,0.9337621927261353,0.9166666269302368,0.9457967877388,0.29483699798583984
27,0.23950053751468658,0.5104166865348816,0.5104166865348816,0.8430323600769043,0.9337621927261353,0.9166666269302368,0.9507309794425964,0.3661823272705078
28,0.23512941598892212,0.5104166865348816,0.5104166865348816,0.8555170297622681,0.9387621879577637,0.9166666269302368,0.9530701637268066,0.3276102542877197
29,0.23088602721691132,0.53125,0.53125,0.860986590385437,0.9399757385253906,0.921875,0.957748532295227,0.32367968559265137
30,0.22675910592079163,0.5307376980781555,0.5307376980781555,0.8696833848953247,0.9424757361412048,0.9375,0.9593932628631592,0.30406975746154785
31,0.22273993492126465,0.5411543846130371,0.5411543846130371,0.8778196573257446,0.9436893463134766,0.9427083730697632,0.9650219678878784,0.32065439224243164
32,0.21881958842277527,0.5515710115432739,0.5515710115432739,0.8832892179489136,0.945509672164917,0.9427083730697632,0.9650219678878784,0.303027868270874
33,0.2149914801120758,0.5515710115432739,0.5515710115432739,0.9001222848892212,0.9467233419418335,0.9583333730697632,0.9683114290237427,0.3262312412261963
34,0.21125084161758423,0.5828210115432739,0.5828210115432739,0.9152737855911255,0.9467233419418335,0.9583333730697632,0.9732456207275391,0.31244754791259766
35,0.20759432017803192,0.5828210115432739,0.5828210115432739,0.9250917434692383,0.9479368925094604,0.9583333730697632,0.9765350818634033,0.2953197956085205
36,0.20402029156684875,0.6244876980781555,0.6244876980781555,0.9349096417427063,0.9510437250137329,0.9583333730697632,0.9781798124313354,0.30979371070861816
37,0.20052865147590637,0.6244876980781555,0.6244876980781555,0.9447275400161743,0.9528640508651733,0.9583333730697632,0.9798245429992676,0.3000321388244629
38,0.19711999595165253,0.6557376980781555,0.6557376980781555,0.9490759372711182,0.9565048217773438,0.9583333730697632,0.9831140041351318,0.2898256778717041
39,0.1937958151102066,0.6661543846130371,0.6661543846130371,0.9528638124465942,0.9565048217773438,0.9583333730697632,0.984758734703064,0.32354021072387695
40,0.19055789709091187,0.6974043846130371,0.6974043846130371,0.9572122693061829,0.9589320421218872,0.9583333730697632,0.9864035248756409,0.3979640007019043
41,0.18740703165531158,0.7276297807693481,0.7276297807693481,0.9577727913856506,0.9601455926895142,0.9583333730697632,0.988048255443573,0.3222658634185791
42,0.18434332311153412,0.7375341653823853,0.7375341653823853,0.9577727913856506,0.9632524251937866,0.9583333730697632,0.9896929860115051,0.4454493522644043
43,0.1813661903142929,0.7375341653823853,0.7375341653823853,0.9577727913856506,0.9694660305976868,0.9583333730697632,0.9896929860115051,0.3282637596130371
44,0.17847487330436707,0.7479507923126221,0.7479507923126221,0.9615606665611267,0.9700728058815002,0.96875,0.9896929860115051,0.2813079357147217
45,0.1756673902273178,0.7583674788475037,0.7583674788475037,0.9615606665611267,0.9706796407699585,0.96875,0.9896929860115051,0.2847104072570801
46,0.17294210195541382,0.7687841653823853,0.7687841653823853,0.9615606665611267,0.9731795787811279,0.9739583730697632,0.9913377165794373,0.2932097911834717
47,0.17029666900634766,0.7885928750038147,0.7885928750038147,0.9610001444816589,0.9731795787811279,0.9739583730697632,0.9946272373199463,0.27877163887023926
48,0.16772842407226562,0.7885928750038147,0.7885928750038147,0.9604395627975464,0.9731795787811279,0.984375,0.9946272373199463,0.29154181480407715
49,0.16523495316505432,0.7885928750038147,0.7885928750038147,0.9642274379730225,0.9781795740127563,0.984375,0.9946272373199463,0.28813672065734863
50,0.16281314194202423,0.7990095615386963,0.7990095615386963,0.9685758948326111,0.9787864089012146,0.984375,0.9946272373199463,0.29076337814331055
51,0.16046053171157837,0.7990095615386963,0.7990095615386963,0.9685758948326111,0.9837864637374878,0.9895833730697632,0.9946272373199463,0.3175623416900635
52,0.15817467868328094,0.7990095615386963,0.7990095615386963,0.9723637700080872,0.9837864637374878,0.9947916269302368,0.9946272373199463,0.32491087913513184
53,0.155953511595726,0.7990095615386963,0.7990095615386963,0.9729242920875549,0.9868931770324707,0.9947916269302368,0.9946272373199463,0.3050715923309326
54,0.15379393100738525,0.7990095615386963,0.7990095615386963,0.976712167263031,0.9893932342529297,0.9947916269302368,0.9946272373199463,0.3100769519805908
55,0.151694193482399,0.7990095615386963,0.7990095615386963,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9953216314315796,0.2886650562286377
56,0.14965148270130157,0.7990095615386963,0.7990095615386963,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.29387521743774414
57,0.1476634293794632,0.8094261884689331,0.8094261884689331,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.28995227813720703
58,0.14572829008102417,0.8198428750038147,0.8198428750038147,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.28574657440185547
59,0.14384420216083527,0.8198428750038147,0.8198428750038147,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.28581953048706055
60,0.1420089155435562,0.8198428750038147,0.8198428750038147,0.976712167263031,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.2914881706237793
61,0.14022061228752136,0.8302595615386963,0.8302595615386963,0.9772727489471436,0.9943932294845581,0.9947916269302368,0.9969663619995117,0.28992462158203125
