,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.9862914085388184,0.98689866065979,0.9863032698631287,0.9869487285614014,0.9859372973442078,0.9862347841262817,0.9862446784973145,0.9862367510795593,0.9862532019615173
E1,0.9984970688819885,0.9988126754760742,0.9985412955284119,0.9986011981964111,0.9984703063964844,0.9984711408615112,0.9984915256500244,0.9985398650169373,0.9985284209251404
E2,0.9948384165763855,0.9975025653839111,0.9946410655975342,0.9962126016616821,0.9951067566871643,0.9948294162750244,0.9947910904884338,0.9969986081123352,0.9979361891746521
E3,0.9982162117958069,0.9985670447349548,0.998203456401825,0.9983900189399719,0.9982095956802368,0.9982216358184814,0.9982087016105652,0.9983505606651306,0.9983310103416443
E4,0.91238933801651,0.9100102186203003,0.9118003845214844,0.9120852947235107,0.9124078750610352,0.9117867350578308,0.9120988249778748,0.910917341709137,0.9088152050971985
E5,0.0013283538864925504,0.0006960082100704312,0.0012744722189381719,0.0007126078708097339,0.0011385759571567178,0.0012899937573820353,0.0012869102647528052,0.0009734333725646138,0.000879365426953882
E6,0.615156888961792,0.6131013035774231,0.6172360777854919,0.604185938835144,0.6164563298225403,0.6153641939163208,0.6163640022277832,0.6113702654838562,0.6095796823501587
E7,0.9622747302055359,0.9637256860733032,0.9621343612670898,0.9635778069496155,0.9634004235267639,0.9626750946044922,0.9627597332000732,0.9637801647186279,0.964089572429657
E8,0.9772206544876099,0.9816581606864929,0.976606547832489,0.9802053570747375,0.9769155979156494,0.9767695069313049,0.9767036437988281,0.980004072189331,0.9821255803108215
