,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
max,1.5043318425792949,5.778744730688516,1.489568434694928,2.3611741376676267,1.6638083521995999,2.9882726883424575,6.271543311851155,2.4132419416516813,3.027816465385412
max_encoding,E5,E1,E1,E1,E1,E5,E5,E1,E1
min,1.0213496296558457,1.1372907581629592,1.0185985743616155,1.0932620357128893,1.0130368658295221,1.067129923418336,1.1397471502382754,1.0849488875013344,1.0359854797987873
min_encoding,E6,E5,E6,E5,E6,E2,E1,E5,E5
