epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,elapsed,mean_valid
0,0.41478675603866577,0.4999890625476837,0.5000052452087402,0.5000912547111511,0.500585675239563,0.4999890625476837,961.1930024623871,0.9896171480233329
1,0.5472413897514343,0.5,0.5,0.5,0.5,0.5,974.2505345344543,0.9809650778743199
2,0.5913932919502258,0.5,0.5,0.5,0.5,0.5,961.5672054290771,0.9809650778743199
3,0.6796984076499939,0.5,0.5,0.5,0.5,0.5,984.2254798412323,0.9809650778743199
4,0.6796966195106506,0.5,0.5,0.5,0.5,0.5,968.1056683063507,0.9809650778743199
5,0.679696798324585,0.5,0.5,0.5,0.5,0.5,980.2080950737,0.9809650778743199

