epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.6614465117454529,0.3559626340866089,0.505806028842926,0.4404640793800354,0.5,0.3559626340866089,0.49989035725593567,0.8162729740142822
1,0.6241862177848816,0.4784482717514038,0.5032445192337036,0.49244120717048645,0.5,0.4784482717514038,0.5025950074195862,0.28885769844055176
2,0.5842172503471375,0.4989224076271057,0.5,0.5,0.5,0.4989224076271057,0.5,0.2863602638244629
3,0.550875723361969,0.5,0.5,0.5,0.5,0.5,0.5,0.2523338794708252
4,0.5258947610855103,0.5,0.5,0.5,0.5,0.5,0.5,0.2526378631591797
5,0.5067409873008728,0.5,0.5,0.5,0.5,0.5,0.5,0.25447821617126465
6,0.49124377965927124,0.5,0.5,0.5,0.5,0.5,0.5,0.2531766891479492
7,0.4781033396720886,0.5,0.5,0.5,0.5,0.5,0.5032894611358643,0.2632129192352295
8,0.46657148003578186,0.5,0.5,0.5,0.5,0.5,0.5164473652839661,0.2477273941040039
9,0.45621395111083984,0.5,0.5,0.5,0.5,0.5,0.5568713545799255,0.2594432830810547
10,0.4467557668685913,0.49878641963005066,0.5,0.5,0.49878641963005066,0.5,0.5933114290237427,0.25647854804992676
11,0.43802276253700256,0.4963592290878296,0.5,0.5,0.4963592290878296,0.5,0.6346856951713562,0.2514011859893799
12,0.4298977851867676,0.4995388388633728,0.5,0.5,0.4995388388633728,0.5,0.667653501033783,0.25393056869506836
13,0.4222927987575531,0.5,0.5,0.5,0.5108252167701721,0.5,0.7013158202171326,0.2670266628265381
14,0.41514351963996887,0.5,0.5,0.5,0.5146844387054443,0.5,0.7201754450798035,0.27100110054016113
15,0.4084027111530304,0.5,0.5,0.5,0.5310437083244324,0.5,0.7441520690917969,0.26357173919677734
16,0.40203097462654114,0.5,0.5,0.5,0.5386893153190613,0.5,0.7594664096832275,0.26580381393432617
17,0.39599609375,0.5,0.5,0.5,0.5675485134124756,0.5,0.7757309675216675,0.2782933712005615
18,0.39027222990989685,0.5,0.5,0.5,0.5801213383674622,0.5,0.7778874635696411,0.2704920768737793
19,0.3848363757133484,0.5,0.5,0.5,0.5876941680908203,0.5052083134651184,0.7788376808166504,0.2527198791503906
20,0.3796672224998474,0.5,0.5,0.5,0.5989805459976196,0.5052083134651184,0.7840278148651123,0.2504284381866455
21,0.3747462034225464,0.5,0.5,0.5,0.6114805936813354,0.5104166865348816,0.7915570139884949,0.2517833709716797
22,0.37005481123924255,0.5,0.5,0.5,0.6358737945556641,0.515625,0.7976973652839661,0.25232815742492676
23,0.3655755817890167,0.5,0.5,0.5,0.6452670097351074,0.5307111740112305,0.8019371032714844,0.3858323097229004
24,0.36129266023635864,0.5,0.5,0.5037878751754761,0.6496602296829224,0.5307111740112305,0.8045321702957153,0.2519357204437256
25,0.35718977451324463,0.5,0.5,0.5075757503509521,0.6565533876419067,0.5411278605461121,0.8106725215911865,0.2544553279876709
26,0.3532482385635376,0.5,0.5,0.5189393758773804,0.6671602129936218,0.5515445470809937,0.8139619827270508,0.25005078315734863
27,0.3494500517845154,0.5,0.5,0.5265151262283325,0.6745873689651489,0.5775861740112305,0.8156067132949829,0.2696356773376465
28,0.3457823097705841,0.5,0.5,0.5481213331222534,0.6883009672164917,0.5827945470809937,0.8165570497512817,0.28418588638305664
29,0.3422356843948364,0.5,0.5,0.5513486862182617,0.700728178024292,0.5827945470809937,0.8191519975662231,0.2712857723236084
30,0.33880168199539185,0.5104166865348816,0.5104166865348816,0.5572428703308105,0.7188349962234497,0.5880028605461121,0.8217470645904541,0.4062767028808594
31,0.33547455072402954,0.5104166865348816,0.5104166865348816,0.5610307455062866,0.7238349914550781,0.6140445470809937,0.8233917951583862,0.29003357887268066
32,0.33224767446517944,0.5104166865348816,0.5104166865348816,0.5680459141731262,0.734514594078064,0.6192528605461121,0.8250365257263184,0.27194857597351074
33,0.32911598682403564,0.5208333134651184,0.5208333134651184,0.5794095396995544,0.7445145845413208,0.6244611740112305,0.8266812562942505,0.26151537895202637
34,0.32607507705688477,0.53125,0.53125,0.5831974148750305,0.7489078044891357,0.6348778605461121,0.8316154479980469,0.3972012996673584
35,0.3231205344200134,0.5416666865348816,0.5416666865348816,0.5983489751815796,0.7683009505271912,0.6505028605461121,0.8339546918869019,0.26624274253845215
36,0.32024824619293213,0.5416666865348816,0.5416666865348816,0.6135004758834839,0.7683009505271912,0.6505028605461121,0.8349049687385559,0.2651181221008301
37,0.31745439767837524,0.5520833134651184,0.5520833134651184,0.6318793296813965,0.7720873951911926,0.6557111740112305,0.8368055820465088,0.2616231441497803
38,0.31473517417907715,0.5625,0.5625,0.6426824331283569,0.7820873856544495,0.6713361740112305,0.8368055820465088,0.2731139659881592
39,0.3120867609977722,0.5729166865348816,0.5729166865348816,0.6502581834793091,0.7895873785018921,0.6869611740112305,0.8391447067260742,0.26350903511047363
40,0.30950602889060974,0.5729166865348816,0.5729166865348816,0.6589549779891968,0.7895873785018921,0.6869611740112305,0.8414838910102844,0.26392197608947754
41,0.30699026584625244,0.5833333134651184,0.5833333134651184,0.6665307879447937,0.7895873785018921,0.6921695470809937,0.8431286811828613,0.28229570388793945
42,0.3045371174812317,0.5833333134651184,0.5833333134651184,0.6778944134712219,0.791480541229248,0.6921695470809937,0.8431286811828613,0.2849278450012207
43,0.30214399099349976,0.5833333134651184,0.5833333134651184,0.6892580389976501,0.7964805364608765,0.6921695470809937,0.8431286811828613,0.2831759452819824
44,0.29980796575546265,0.5833333134651184,0.5833333134651184,0.7000611424446106,0.8020874261856079,0.6921695470809937,0.8438230752944946,0.28571605682373047
45,0.29752686619758606,0.6041666865348816,0.6041666865348816,0.7000611424446106,0.8051941990852356,0.6968390941619873,0.8454678058624268,0.29410243034362793
46,0.29529809951782227,0.6041666865348816,0.6041666865348816,0.7038490176200867,0.8151941895484924,0.6968390941619873,0.8454678058624268,0.26871299743652344
47,0.2931196987628937,0.625,0.625,0.7081974744796753,0.8164077997207642,0.7020474076271057,0.8454678058624268,0.27684974670410156
48,0.2909892201423645,0.625,0.625,0.7119853496551514,0.822014570236206,0.7124640941619873,0.8454678058624268,0.285952091217041
49,0.28890421986579895,0.625,0.625,0.7233489751815796,0.8207281827926636,0.7228807210922241,0.8461623191833496,0.4104759693145752
50,0.28686270117759705,0.625,0.625,0.7271368503570557,0.8238349556922913,0.7332974076271057,0.8454678058624268,0.3494293689727783
51,0.2848626971244812,0.6354166865348816,0.6354166865348816,0.7347126007080078,0.8288349509239197,0.7437140941619873,0.8454678058624268,0.2846493721008301
52,0.2829025685787201,0.6354166865348816,0.6354166865348816,0.7385004758834839,0.8288349509239197,0.7541307210922241,0.8468567132949829,0.330127477645874
53,0.28098052740097046,0.6458333134651184,0.6458333134651184,0.7574398517608643,0.8400485515594482,0.7541307210922241,0.8522295355796814,0.34549808502197266
54,0.2790953814983368,0.6666666865348816,0.6666666865348816,0.7650156021118164,0.8431553840637207,0.7645474076271057,0.8529239892959595,0.3358447551727295
55,0.277245432138443,0.6666666865348816,0.6666666865348816,0.7763792276382446,0.8456553220748901,0.7645474076271057,0.8543128967285156,0.3005845546722412
56,0.27542880177497864,0.6666666865348816,0.6666666865348816,0.7915307283401489,0.8562621474266052,0.7697557210922241,0.855701744556427,0.3562772274017334
57,0.27364420890808105,0.6770833134651184,0.6770833134651184,0.7991065382957458,0.8587621450424194,0.7853807210922241,0.8570905923843384,0.293597936630249
58,0.2718900442123413,0.6770833134651184,0.6770833134651184,0.7991065382957458,0.8593689203262329,0.7853807210922241,0.8587353229522705,0.32398200035095215
59,0.27016499638557434,0.6770833134651184,0.6770833134651184,0.8028944134712219,0.8599756956100464,0.7905890941619873,0.8603801131248474,0.2944190502166748
60,0.2684681713581085,0.6869876980781555,0.6869876980781555,0.8186064958572388,0.8624757528305054,0.7905890941619873,0.8610745668411255,0.2837226390838623
