epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.4003685414791107,0.5054338574409485,0.6014836430549622,0.5054338574409485,0.6410446166992188,0.5122974514961243,nan,971.7578458786011,0.9996291753496442
1,0.25044363737106323,0.8582321405410767,0.9483997821807861,0.8582321405410767,0.9588940143585205,0.9129019975662231,nan,957.4776484966278,0.9988595751299177

2,0.17890827357769012,0.9743678569793701,0.9905115365982056,0.9743678569793701,0.9890000820159912,0.9790409803390503,nan,959.4944272041321,0.9982655805206299

3,0.14171037077903748,0.9810441732406616,0.9930610060691833,0.9810441732406616,0.9919570088386536,0.9838974475860596,nan,974.5501997470856,0.9981599959128243
4,0.11941349506378174,0.9830306768417358,0.9935657978057861,0.9830306768417358,0.992567777633667,0.9849667549133301,nan,966.4596045017242,0.9979895685686384
5,0.10553348809480667,0.981427788734436,0.9925639629364014,0.981427788734436,0.9911115169525146,0.9829264879226685,nan,970.4054038524628,0.9977872386932373

