,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
max,1.0,1.0,0.5286624431610107,1.0,1.0,1.0,0.08082622289657593,0.8376740217208862,0.9308486580848694
max_encoding,E6,E6,E4,E6,E6,E6,E12,E12,E12
min,0.41196155548095703,0.8535031676292419,0.0,0.6224961280822754,0.47725024819374084,0.16320577263832092,0.0,0.0,0.0
min_encoding,E11,E4,E6,E14,E13,E11,E6,E6,E6
