,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.5001749396324158,0.5047354698181152,0.500026285648346,0.5054025650024414,0.5007185935974121,0.5010879039764404,0.5020824670791626,0.5048407912254333,0.5065097212791443
E1,0.4986567199230194,0.4776318669319153,0.5010203719139099,0.4781489968299866,0.49645137786865234,0.49516910314559937,0.49180805683135986,0.4789835512638092,0.4708296060562134
E2,0.4999018907546997,0.5005090832710266,0.4998324513435364,0.4999047815799713,0.500002920627594,0.49999523162841797,0.4998210668563843,0.5002228617668152,0.5002254843711853
E3,0.4999397099018097,0.503718912601471,0.49957075715065,0.503686249256134,0.5008254051208496,0.5008784532546997,0.5012048482894897,0.5032728910446167,0.5041844248771667
E4,0.5000110268592834,0.49986031651496887,0.5001459717750549,0.5000244379043579,0.5000499486923218,0.5000380277633667,0.49999555945396423,0.49994194507598877,0.4999831020832062
E5,0.5000775456428528,0.5035926103591919,0.49935609102249146,0.5032529830932617,0.5003480315208435,0.5004985928535461,0.49987342953681946,0.5032405853271484,0.5038316249847412
E6,0.5000052452087402,0.5000024437904358,0.499996155500412,0.5000033378601074,0.5000044703483582,0.5000130534172058,0.49999764561653137,0.499993234872818,0.4999910295009613
E7,0.5008425116539001,0.5058313608169556,0.49984246492385864,0.5063297748565674,0.5011473298072815,0.5018599629402161,0.5014111995697021,0.5052610039710999,0.5070352554321289
E8,0.500298261642456,0.5029565691947937,0.4998913109302521,0.5020210146903992,0.5007949471473694,0.4997907280921936,0.5008736252784729,0.5025168061256409,0.5039096474647522
E9,0.5003670454025269,0.4998306930065155,0.4999326169490814,0.5000161528587341,0.500156581401825,0.5000767111778259,0.5004414916038513,0.4995935261249542,0.4997415542602539
E10,0.5004165768623352,0.5058876872062683,0.49912577867507935,0.5037992596626282,0.5010104775428772,0.5005966424942017,0.49950388073921204,0.504045307636261,0.5054888725280762
E11,0.49925604462623596,0.4958089590072632,0.4999385476112366,0.4977266788482666,0.49939385056495667,0.4988930821418762,0.4994043707847595,0.4973055124282837,0.4955843389034271
E12,0.5007041096687317,0.5073819756507874,0.49972423911094666,0.5074073672294617,0.5019935965538025,0.5019775032997131,0.5026641488075256,0.5073221921920776,0.5093567967414856
E13,0.5005077123641968,0.49851348996162415,0.500449538230896,0.5006133913993835,0.4989050626754761,0.49981188774108887,0.5007895827293396,0.49897900223731995,0.49917349219322205
E14,0.5003000497817993,0.4991928040981293,0.5000774264335632,0.49944278597831726,0.5001729726791382,0.49998897314071655,0.49949994683265686,0.4989304840564728,0.49870288372039795
E15,0.4999566376209259,0.5001314282417297,0.49998122453689575,0.499867707490921,0.500030517578125,0.4999147951602936,0.4998353123664856,0.5000695586204529,0.5000357031822205
