,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.5785123705863953,0.12236608564853668,0.5720031261444092,0.3444173038005829,0.5078808069229126,0.8205323815345764,0.9217919111251831,0.3361307978630066,0.2588796615600586
E1,0.4634537994861603,0.6620787382125854,0.4686223864555359,0.5526958703994751,0.49323055148124695,0.35338297486305237,0.30852818489074707,0.5571456551551819,0.5889995098114014
E2,0.4197015166282654,0.8886634707450867,0.42614904046058655,0.6641162037849426,0.492670476436615,0.17247766256332397,0.06866031140089035,0.672314465045929,0.7519558668136597
E3,0.576488196849823,0.1306702345609665,0.5699083805084229,0.34656500816345215,0.5078234672546387,0.8130837678909302,0.9119265675544739,0.3386048376560211,0.26279139518737793
E4,0.5808894038200378,0.10820537060499191,0.5744507312774658,0.3344373106956482,0.5074442028999329,0.8303006887435913,0.9349294900894165,0.3263801336288452,0.24607723951339722
E5,0.5789004564285278,0.11958774924278259,0.5717914700508118,0.3415154814720154,0.5075544714927673,0.8221729397773743,0.9238557815551758,0.33368760347366333,0.2553780674934387
E6,0.5809952616691589,0.1077202633023262,0.574406623840332,0.33419036865234375,0.5074089169502258,0.8307417035102844,0.9355292320251465,0.32618609070777893,0.24573326110839844
E7,0.577850878238678,0.1291399449110031,0.5706183910369873,0.3479277193546295,0.5081894993782043,0.8156107664108276,0.9145770072937012,0.33931484818458557,0.2633867561817169
E8,0.5777009725570679,0.126194030046463,0.5710152983665466,0.3433147668838501,0.5078719854354858,0.8159988522529602,0.9164909720420837,0.3360866904258728,0.2598763406276703
E9,0.5802631974220276,0.11290650069713593,0.5733482241630554,0.3364218473434448,0.5074618458747864,0.8263492584228516,0.9298049807548523,0.3281618058681488,0.24895261228084564
E10,0.5752180814743042,0.1399049162864685,0.5678797364234924,0.3502165377140045,0.507849931716919,0.8058424592018127,0.9021891355514526,0.34300607442855835,0.26920363306999207
E11,0.5719413757324219,0.14642740786075592,0.5667022466659546,0.3492066264152527,0.5060373544692993,0.7961182594299316,0.890621542930603,0.34168747067451477,0.2685994505882263
E12,0.5784947276115417,0.1259647011756897,0.5712181329727173,0.3472926616668701,0.5091068148612976,0.8188565373420715,0.9190664887428284,0.3394559621810913,0.26266351342201233
E13,0.5757076144218445,0.13512881100177765,0.5695423483848572,0.34656059741973877,0.5057815909385681,0.8070375919342041,0.9046543836593628,0.3376919627189636,0.2632632851600647
E14,0.5803558230400085,0.1118965893983841,0.5736348628997803,0.33558833599090576,0.50749272108078,0.8269445896148682,0.9304267764091492,0.32724007964134216,0.24768692255020142
E15,0.41926053166389465,0.8909125924110413,0.4258403480052948,0.6650952100753784,0.4926528334617615,0.17041374742984772,0.06600545346736908,0.673240602016449,0.7533670663833618
