,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.983794093132019,0.9920982718467712,0.9836698770523071,0.9908416867256165,0.9843554496765137,0.9840157628059387,0.9839159846305847,0.9901710152626038,0.9934675693511963
E1,0.2813301682472229,0.24253837764263153,0.28332439064979553,0.25335848331451416,0.27895981073379517,0.28082048892974854,0.281399667263031,0.2541337013244629,0.23845160007476807
E2,0.0047820741310715675,0.005772773642092943,0.004721689037978649,0.004737522918730974,0.004867195151746273,0.0048626926727592945,0.004841234069317579,0.005164605099707842,0.005204407498240471
E3,0.9725144505500793,0.97920161485672,0.9721996188163757,0.9774736762046814,0.9733781814575195,0.9728623628616333,0.9727203249931335,0.9769756197929382,0.9788773059844971
E4,0.9993168711662292,0.9990583658218384,0.999431848526001,0.9993401765823364,0.9993568062782288,0.9993205070495605,0.9993070363998413,0.999229371547699,0.9992821216583252
E5,0.9866936802864075,0.9930399060249329,0.9860805869102478,0.990960419178009,0.9869715571403503,0.9867974519729614,0.9866123795509338,0.9909957647323608,0.9924087524414062
E6,1.0,1.0,0.999992311000824,1.0,1.0,1.0,0.9999952912330627,0.999986469745636,0.9999820590019226
E7,0.9762566089630127,0.9859570264816284,0.9754164814949036,0.9839795231819153,0.9766809344291687,0.9761802554130554,0.9757325649261475,0.9826404452323914,0.9861634373664856
E8,0.9781466722488403,0.9831729531288147,0.9778042435646057,0.9805880188941956,0.9786799550056458,0.9778258800506592,0.9780094027519226,0.9812884330749512,0.9837945699691772
E9,0.9936087131500244,0.9929989576339722,0.9932437539100647,0.9933226108551025,0.9934553503990173,0.9933270812034607,0.9933580160140991,0.9927533268928528,0.9929112195968628
E10,0.9622064232826233,0.9723643660545349,0.9611132144927979,0.9669165015220642,0.9628528952598572,0.9620593190193176,0.9617933630943298,0.9673088788986206,0.9701374769210815
E11,0.9479816555976868,0.9411258697509766,0.9485527873039246,0.94557785987854,0.9480079412460327,0.9482303857803345,0.9485282897949219,0.9449739456176758,0.9419439435005188
E12,0.9809476137161255,0.9935312271118164,0.9801228642463684,0.9902214407920837,0.9823216795921326,0.9810270071029663,0.9807010889053345,0.990225076675415,0.9944725632667542
E13,0.9647568464279175,0.9616786241531372,0.964713990688324,0.9651482105255127,0.9632526636123657,0.9642677307128906,0.9644331932067871,0.9629554748535156,0.9630845785140991
E14,0.9945271611213684,0.9928352236747742,0.9943416714668274,0.993533730506897,0.9944461584091187,0.994271993637085,0.9942112565040588,0.9928344488143921,0.9923189878463745
E15,0.0017761989729478955,0.0020470828749239445,0.0017965451115742326,0.0016363587928935885,0.0018425809685140848,0.0017836950719356537,0.0017913037445396185,0.0019063070649281144,0.0018664082745090127
