,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.016555802896618843,0.017372695729136467,0.016382740810513496,0.01996343769133091,0.01708177477121353,0.018160026520490646,0.020249007269740105,0.01951056718826294,0.019551897421479225
E1,0.7159832715988159,0.7127253413200378,0.7187163233757019,0.702939510345459,0.7139429450035095,0.7095177173614502,0.7022164463996887,0.7038334012031555,0.7032076120376587
E2,0.9950217008590698,0.9952453970909119,0.9949432015419006,0.995072066783905,0.9951387047767639,0.99512779712677,0.9948009252548218,0.9952811002731323,0.9952465295791626
E3,0.02736496366560459,0.028236189857125282,0.02694188803434372,0.029898792505264282,0.028272664174437523,0.02889450453221798,0.029689423739910126,0.029570192098617554,0.02949155680835247
E4,0.000705174112226814,0.0006622876389883459,0.000860067957546562,0.0007087219273671508,0.0007430750993080437,0.0007555821794085205,0.0006840880960226059,0.000654497358482331,0.0006840825080871582
E5,0.013461457565426826,0.014145278371870518,0.012631600722670555,0.015545517206192017,0.013724506832659245,0.014199734665453434,0.013134491629898548,0.015485407784581184,0.015254455618560314
E6,1.0524986464588437e-05,4.942445229971781e-06,0.0,6.623569333896739e-06,8.952712050813716e-06,2.605455847515259e-05,0.0,0.0,0.0
E7,0.025428367778658867,0.02570565789937973,0.02426842413842678,0.02868005447089672,0.025613708421587944,0.02753966860473156,0.027089890092611313,0.02788158878684044,0.027907058596611023
E8,0.0224497951567173,0.022740190848708153,0.021978363394737244,0.023454058915376663,0.022909989580512047,0.021755555644631386,0.02373785711824894,0.023745164275169373,0.02402474358677864
E9,0.007125415839254856,0.006662416271865368,0.006621486973017454,0.006709675770252943,0.006857777014374733,0.006826294120401144,0.007524969056248665,0.006433709058910608,0.006571869365870953
E10,0.03862670063972473,0.03941105678677559,0.037138357758522034,0.04068196192383766,0.039168115705251694,0.0391339473426342,0.03721439465880394,0.04078173264861107,0.040840309113264084
E11,0.050530459731817245,0.050492022186517715,0.05132429674267769,0.04987547546625137,0.050779782235622406,0.04955577105283737,0.05028047785162926,0.0496370829641819,0.04922470822930336
E12,0.020460573956370354,0.021232744678854942,0.01932562328875065,0.024593312293291092,0.021665561944246292,0.022928010672330856,0.024627171456813812,0.02441929653286934,0.024241076782345772
E13,0.036258578300476074,0.03534836694598198,0.03618502989411354,0.03607858344912529,0.03455746918916702,0.03535603731870651,0.037145983427762985,0.03500251844525337,0.03526240587234497
E14,0.0060729170218110085,0.005550365895032883,0.005813230760395527,0.005351843778043985,0.005899837240576744,0.005705948453396559,0.004788616672158241,0.005026539787650108,0.005086767487227917
E15,0.9981370568275452,0.9982157945632935,0.9981659054756165,0.9980990290641785,0.9982184171676636,0.9980459213256836,0.9978793263435364,0.9982328414916992,0.9982050061225891
