,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
max,2.3882289725148276,10.0391996245042,2.416622494484547,4.030878932732599,2.7481873218582678,3.56369651592917,7.53400959415958,4.116794643568956,5.211336995465401
max_encoding,E4,E4,E4,E4,E4,E15,E15,E4,E4
min,1.014176916159243,1.0902268141932134,1.0162981000116968,1.088900678221717,1.0227214073098934,1.0639629384928362,1.1388829581807458,1.0965993401730805,1.070666176687855
min_encoding,E6,E15,E6,E1,E1,E14,E4,E1,E2
