,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.03186790645122528,0.034120090305805206,0.031553104519844055,0.038969770073890686,0.03306587412953377,0.0331202931702137,0.0323038287460804,0.03809657692909241,0.03827401250600815
E1,0.5279181599617004,0.7900887131690979,0.5351568460464478,0.6766533851623535,0.5812305808067322,0.27084794640541077,0.11577676981687546,0.6817097067832947,0.7207510471343994
E2,0.5896470546722412,0.941011369228363,0.5960857272148132,0.7977760434150696,0.6589911580085754,0.2893134355545044,0.12104766070842743,0.8036571741104126,0.8582117557525635
E3,0.0513666495680809,0.05478781834244728,0.05062058940529823,0.05743112415075302,0.053562186658382416,0.04972871392965317,0.04165266826748848,0.05682661384344101,0.05691300332546234
E4,0.001408021547831595,0.0013235482620075345,0.0017173419473692775,0.0014159714337438345,0.0014840642688795924,0.001505008083768189,0.0013536377809941769,0.0013076509349048138,0.0013669102918356657
E5,0.02609032765030861,0.02787286788225174,0.02449365146458149,0.030478933826088905,0.02672361209988594,0.026320237666368484,0.021756373345851898,0.030368179082870483,0.029977479949593544
E6,2.1049752831459045e-05,9.884842256724369e-06,0.0,1.3247050446807407e-05,1.790526403055992e-05,5.2107756346231326e-05,0.0,0.0,0.0
E7,0.0480528324842453,0.050040170550346375,0.04589996859431267,0.05532839521765709,0.048805031925439835,0.048127491027116776,0.03928181901574135,0.053810641169548035,0.05406170338392258
E8,0.0426497645676136,0.044380996376276016,0.041786517947912216,0.04540092870593071,0.04385228455066681,0.03848546743392944,0.03535405173897743,0.045981958508491516,0.04668151214718819
E9,0.01402658224105835,0.013225540518760681,0.013037756085395813,0.01328568160533905,0.013531536795198917,0.013132831081748009,0.013633265160024166,0.01274075172841549,0.013028031215071678
E10,0.07080773264169693,0.07559081166982651,0.06816734373569489,0.07695536315441132,0.0727064236998558,0.06387412548065186,0.04676150530576706,0.0771937221288681,0.07774889469146729
E11,0.09001931548118591,0.09548421949148178,0.09158822894096375,0.09260283410549164,0.09196446090936661,0.0760267823934555,0.05595310777425766,0.092238649725914,0.09216907620429993
E12,0.03908873349428177,0.041550807654857635,0.03694605454802513,0.04777713119983673,0.041669536381959915,0.04108789190649986,0.03775167837738991,0.047455210238695145,0.0472516305744648
E13,0.06682831794023514,0.06797929853200912,0.06677374988794327,0.06848815828561783,0.0644482672214508,0.058404531329870224,0.04782876372337341,0.06648557633161545,0.06734032928943634
E14,0.011982141062617302,0.011029970832169056,0.011472158133983612,0.010612447746098042,0.011664129793643951,0.011038584634661674,0.008796179667115211,0.009968394413590431,0.010096906684339046
E15,0.5902195572853088,0.9422962069511414,0.5967347025871277,0.7987353205680847,0.6596773862838745,0.2894033193588257,0.12107352912425995,0.8045694231987,0.8592639565467834
