,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
max,0.5809952616691589,0.8909125924110413,0.5744507312774658,0.6650952100753784,0.5091068148612976,0.8307417035102844,0.9355292320251465,0.673240602016449,0.7533670663833618
max_encoding,E6,E15,E4,E15,E12,E6,E6,E15,E15
min,0.41926053166389465,0.1077202633023262,0.4258403480052948,0.33419036865234375,0.4926528334617615,0.17041374742984772,0.06600545346736908,0.32618609070777893,0.24573326110839844
min_encoding,E15,E6,E15,E6,E15,E15,E15,E6,E6
