,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
E0,0.5022441376033928,0.5073774805390208,0.5022317475368837,0.526249355818595,0.49893928577296026,0.5084703627777545,0.5091574580556626,0.5176099823945515,0.5223796256730565
E1,0.4983096541385542,0.46440777342321543,0.5027995705288757,0.4649327592931539,0.49360824684716204,0.4945007837019777,0.4880746961540245,0.465852988207508,0.4526745702153349
E2,0.49856566143647374,0.49388020584227077,0.5008874009260086,0.4880854672714191,0.49683145208672375,0.496852467924464,0.49432233714388235,0.49285209338752284,0.49005515409459716
E3,0.4997025983931424,0.5226191225289993,0.4954697673267807,0.523679052074996,0.5011608586450125,0.504391602134643,0.506109318048849,0.520399709712162,0.5281036198520839
E4,0.4997715513060579,0.48138555922626963,0.5014799383371655,0.4796079236509541,0.49864724405228505,0.4980085191842478,0.49680508527346495,0.4807745126953659,0.47524996803062286
E5,0.5003558409179081,0.5228780074051994,0.4983957182644603,0.5243980346759259,0.5022801400455859,0.5029813756044451,0.5042482922615005,0.5234644566247971,0.5301971953878931
E6,0.4975373944322589,0.4676174750556889,0.5030255322624042,0.4700803883599391,0.49211049398373163,0.4959746562981489,0.491630526243028,0.46863819810837676,0.456246899324238
E7,0.5001166951127147,0.525016611244757,0.4981155437472145,0.5255428500335466,0.502671682603029,0.5025676437064874,0.5044623239072921,0.5256046078813491,0.5333989394844005
E8,0.5019215638134888,0.47890621177999393,0.5006619819683068,0.49540919810701317,0.49932028001033457,0.5015288923852295,0.5018171085599306,0.4842468602941569,0.47893911790204047
E9,0.49995434650771076,0.5310406217246024,0.49926687469957387,0.5281086088904823,0.5033007957584434,0.5055827082988684,0.5125103854749951,0.5304079448536445,0.5428636796894705
E10,0.4998912978115699,0.5018419621218182,0.49963626394092564,0.5013873259001039,0.5002882353241841,0.4970345110328794,0.49693933598502676,0.5020083812855751,0.502482363385394
E11,0.4996409137940919,0.46770850548737636,0.5017260922463529,0.4766489123274417,0.4934526230603893,0.4951131259180177,0.49432724184563853,0.47155951426316656,0.4630132964941213
E12,0.5014676138404017,0.5152882682189446,0.4992084154557734,0.5167509907869534,0.5011754851192024,0.5034351503430494,0.5114061687609897,0.5153825098701317,0.523145440184683
E13,0.4992562942184002,0.45905346052789475,0.5054256839452758,0.47505555092427626,0.490883131830836,0.4944754526624651,0.49053834595316853,0.46672232863139684,0.45543058511457146
E14,0.4994664931954755,0.458832480311299,0.5001446267858299,0.45803375126947926,0.49646287750374113,0.4888994123266192,0.4877100324894513,0.45748837172010015,0.4453336881880053
E15,0.4974980110170989,0.45466877717677745,0.5049506899000974,0.4546076826858208,0.49107071536535757,0.48970678959105807,0.483766631800282,0.45691338858327396,0.44169854359078403
