,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons
max,0.5809908509254456,0.14766663312911987,0.5744110345840454,0.3507104516029358,0.5077131986618042,0.830737292766571,0.9355336427688599,0.34347355365753174,0.2715056836605072
max_encoding,E0,E4,E0,E4,E7,E0,E0,E4,E4
min,0.573215901851654,0.10771585255861282,0.56611567735672,0.33418595790863037,0.5065092444419861,0.7975250482559204,0.8915697336196899,0.3261905014514923,0.24573767185211182
min_encoding,E4,E0,E4,E0,E2,E4,E4,E0,E0
