epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
17,0.2934812307357788,0.5,0.5,0.7101848125457764,0.8891990184783936,0.7024065852165222,0.9322003126144409,0.2972855567932129
18,0.28601595759391785,0.5,0.5,0.7188816070556641,0.9016262292861938,0.7158764600753784,0.9385234117507935,0.32253003120422363
19,0.27890825271606445,0.5,0.5,0.7449721097946167,0.9202669858932495,0.7164152264595032,0.9445906281471252,0.32560133934020996
20,0.2721084952354431,0.5,0.5,0.753669023513794,0.9301213622093201,0.7465876340866089,0.9478801488876343,0.374370813369751
21,0.2655882239341736,0.5,0.5,0.75745689868927,0.9332281351089478,0.7720905542373657,0.9551535248756409,0.32729578018188477
22,0.2593286633491516,0.5,0.5,0.7655931711196899,0.9387621879577637,0.7710129022598267,0.9591374397277832,0.3338906764984131
23,0.25331106781959534,0.5,0.5,0.7824262976646423,0.9474757313728333,0.7715517282485962,0.9650219678878784,0.46672487258911133
24,0.24752551317214966,0.5,0.5,0.7841079235076904,0.9511892795562744,0.7767601013183594,0.972295343875885,0.3343777656555176
25,0.24196456372737885,0.5208333134651184,0.5208333134651184,0.7992594242095947,0.9567233324050903,0.7762212753295898,0.9748903512954712,0.3660852909088135
26,0.23662300407886505,0.5932376980781555,0.5932376980781555,0.8252140283584595,0.9579368829727173,0.7720905542373657,0.9758406281471252,0.3504903316497803
27,0.2314922958612442,0.6343920826911926,0.6343920826911926,0.8371381759643555,0.9610437154769897,0.7772988677024841,0.9777412414550781,0.4538731575012207
28,0.22656439244747162,0.6547131538391113,0.6547131538391113,0.8458350896835327,0.9616504907608032,0.7830460071563721,0.9833698868751526,0.4341316223144531
29,0.22182516753673553,0.6849385499954224,0.6849385499954224,0.8583197593688965,0.9653640985488892,0.7887930870056152,0.9899488687515259,0.3341350555419922
30,0.21725896000862122,0.7052595615386963,0.7052595615386963,0.882728636264801,0.970291256904602,0.7882543206214905,0.991593599319458,0.34897589683532715
31,0.21285389363765717,0.7156761884689331,0.7156761884689331,0.9071375131607056,0.9733980894088745,0.7871767282485962,0.9908990859985352,0.3818175792694092
32,0.20860067009925842,0.7469261884689331,0.7469261884689331,0.9088190793991089,0.9765048623085022,0.8038793206214905,0.9925438761711121,0.3401327133178711
33,0.20449087023735046,0.7573428750038147,0.7573428750038147,0.9234101176261902,0.9765048623085022,0.8142960071563721,0.9925438761711121,0.39052772521972656
34,0.20051267743110657,0.7776639461517334,0.7776639461517334,0.9370158910751343,0.9777184724807739,0.8200430870056152,0.9925438761711121,0.30383872985839844
