epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.624950647354126,0.4423155188560486,0.5,0.4423155188560486,0.4957524240016937,0.44594109058380127,0.5031067132949829,0.3069765567779541
1,0.5384244322776794,0.5,0.5,0.5,0.5,0.5,0.5,0.28956103324890137
2,0.49032601714134216,0.5,0.5,0.5,0.5,0.5,0.5,0.2931087017059326
3,0.45864012837409973,0.5,0.5,0.5,0.5,0.5,0.5016447305679321,0.2818634510040283
4,0.43280357122421265,0.5,0.5,0.5,0.5,0.5,0.5815423727035522,0.2943077087402344
5,0.40972602367401123,0.5,0.5,0.5,0.5295388698577881,0.5,0.7233186960220337,0.3152039051055908
6,0.3890673518180847,0.5,0.5,0.5037878751754761,0.6419417262077332,0.5,0.7843201756477356,0.2865924835205078
7,0.37099406123161316,0.5,0.5,0.5350760817527771,0.7264806032180786,0.5104166865348816,0.8145102262496948,0.2887554168701172
8,0.35536500811576843,0.5,0.5,0.6139250993728638,0.7665534019470215,0.5499281287193298,0.8343201875686646,0.28972363471984863
9,0.3418247103691101,0.5,0.5,0.6846378445625305,0.795339822769165,0.5842313170433044,0.838998556137085,0.28805041313171387
10,0.3299417495727539,0.5,0.5,0.7007745504379272,0.8240534067153931,0.6248204112052917,0.8460891842842102,0.2978861331939697
11,0.3193226456642151,0.5,0.5,0.7142444849014282,0.829660177230835,0.6612787246704102,0.8512061238288879,0.2972090244293213
12,0.3096669018268585,0.5,0.5,0.7250475883483887,0.839587390422821,0.7076149582862854,0.8685306906700134,0.32606053352355957
13,0.3007369041442871,0.5,0.5,0.7445474863052368,0.8489077687263489,0.7232399582862854,0.8799707889556885,0.3371899127960205
14,0.29237645864486694,0.5,0.5,0.7738653421401978,0.8651213645935059,0.7451508641242981,0.8843932747840881,0.29986572265625
15,0.2844623029232025,0.5,0.5,0.7944863438606262,0.8726213574409485,0.7618534564971924,0.8953947424888611,0.3011486530303955
16,0.27690255641937256,0.5,0.5,0.8069710731506348,0.8926213383674622,0.8045977354049683,0.9089912176132202,0.30471205711364746
17,0.2696390151977539,0.5,0.5,0.8389557003974915,0.9032281637191772,0.8311781883239746,0.9129751324653625,0.295302152633667
18,0.2626339793205261,0.5,0.5,0.8552283048629761,0.9107281565666199,0.8478807210922241,0.9256213307380676,0.29520678520202637
19,0.25586897134780884,0.5,0.5,0.8817434310913086,0.9138349294662476,0.8635057210922241,0.9326388835906982,0.29979395866394043
20,0.2493278831243515,0.5,0.5,0.8996976613998413,0.9150485396385193,0.8947557210922241,0.9396564364433289,0.2979240417480469
