epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_valid,epoch_elapsed
0,0.6451587677001953,0.5,0.5081967115402222,0.5095291137695312,0.5041990280151367,0.5,0.5,0.3292355537414551
1,0.5561290979385376,0.5,0.5,0.5,0.5,0.5,0.5,0.33379244804382324
2,0.5032042860984802,0.5,0.5,0.5,0.5,0.5,0.5,0.3212418556213379
3,0.46861106157302856,0.5,0.5,0.5,0.5,0.5,0.5,0.4826664924621582
4,0.4393107295036316,0.5,0.5,0.5,0.5,0.5,0.5,0.3120143413543701
5,0.4132605791091919,0.5,0.5,0.5,0.5,0.5,0.6534721851348877,0.391371488571167
6,0.39093947410583496,0.5,0.5,0.5108031034469604,0.5106796026229858,0.5,0.788998544216156,0.3106420040130615
7,0.37158387899398804,0.5,0.5,0.5707127451896667,0.6700485348701477,0.5,0.8424707651138306,0.30677318572998047
8,0.35445743799209595,0.5,0.5,0.6494258642196655,0.766626238822937,0.546875,0.8760599493980408,0.3179652690887451
9,0.3391883969306946,0.5,0.5,0.7093355059623718,0.8054126501083374,0.6311063170433044,0.8940789699554443,0.3292100429534912
10,0.32541924715042114,0.5,0.5,0.7309417128562927,0.8391990661621094,0.6857039928436279,0.9193713665008545,0.3572218418121338
11,0.31286466121673584,0.5,0.5,0.7428658604621887,0.8648058176040649,0.7194684147834778,0.9284722208976746,0.3617849349975586
12,0.3013240098953247,0.5,0.5,0.7585779428482056,0.8885194063186646,0.7241379022598267,0.9319444298744202,0.34741902351379395
13,0.29067492485046387,0.5,0.5,0.7829868197441101,0.9116262197494507,0.7496408224105835,0.9436403512954712,0.33380627632141113
14,0.28080862760543823,0.5,0.5,0.7949110269546509,0.921553373336792,0.7715517282485962,0.9518640041351318,0.3228921890258789
15,0.271615207195282,0.5,0.5,0.8187593221664429,0.9277670383453369,0.7772988677024841,0.9542032480239868,0.32236671447753906
16,0.2629978358745575,0.5,0.5,0.8524255752563477,0.9320874214172363,0.7887930870056152,0.9647660851478577,0.32782721519470215
