epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.15734627842903137,0.7371275424957275,0.90815669298172,0.7371275424957275,0.9358540773391724,0.8357993364334106,nan,963.62286901474,0.9996537858145578
1,0.0893840417265892,0.9819222688674927,0.9925711154937744,0.9819222688674927,0.9915841817855835,0.9878976345062256,nan,952.7273228168488,0.9995607382856097

2,0.06610646843910217,0.9867861866950989,0.9940601587295532,0.9867861866950989,0.9938587546348572,0.9907940626144409,nan,954.5760006904602,0.9993385474395752
3,0.05360023304820061,0.9894250631332397,0.9954922199249268,0.9894250631332397,0.9949162006378174,0.9926754236221313,nan,970.3672819137573,0.9994179855673654
4,0.04774012416601181,0.9871454834938049,0.9941476583480835,0.9871454834938049,0.9939683675765991,0.990717351436615,nan,960.1878485679626,0.9991060017613003
5,0.04214433953166008,0.9908978939056396,0.9961862564086914,0.9908978939056396,0.9962027668952942,0.9932236075401306,nan,953.8375551700592,0.9993404769679478

