epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.2928853929042816,0.5375800132751465,0.8118026256561279,0.5375800132751465,0.8389312028884888,0.607555627822876,nan,922.7723798751831,0.9989728812735421
1,0.20081084966659546,0.8263104557991028,0.9558696150779724,0.8263104557991028,0.9463521242141724,0.8973904848098755,nan,937.4730668067932,0.999361205204555

2,0.14697492122650146,0.9681563377380371,0.9839499592781067,0.9727579355239868,0.9745156764984131,0.9681563377380371,nan,926.52303814888,0.999440850819179

3,0.11681751906871796,0.9787070751190186,0.9898967742919922,0.9838166832923889,0.9835852384567261,0.9787070751190186,nan,925.8691680431366,0.9994942133222308

4,0.09761281311511993,0.982413113117218,0.9923848509788513,0.986885666847229,0.9881281852722168,0.982413113117218,nan,925.7469594478607,0.999425121383667
5,0.08426077663898468,0.9853991270065308,0.9938817024230957,0.9885398149490356,0.9907412528991699,0.9853991270065308,nan,937.98140001297,0.999454023677281
6,0.0744955763220787,0.9865842461585999,0.9945974349975586,0.9896726012229919,0.9922652244567871,0.9865842461585999,nan,925.3429982662201,0.9994051825932094
7,0.06694875657558441,0.9885591268539429,0.9952629804611206,0.9912841320037842,0.9933589100837708,0.9885591268539429,nan,926.1909558773041,0.9994298435756138
8,0.061097875237464905,0.9883360862731934,0.9953850507736206,0.9912154674530029,0.9935277700424194,0.9883360862731934,nan,924.5634486675262,0.9993594322095598
9,0.05631120875477791,0.9891745448112488,0.9958074688911438,0.9920108318328857,0.9943607449531555,0.9891745448112488,nan,938.1847298145294,0.9993586627197265
10,0.05233816057443619,0.9889368414878845,0.9961435794830322,0.9925903081893921,0.9948067665100098,0.9889368414878845,nan,924.3871428966522,0.9993160872650146

11,0.04922204837203026,0.9877489805221558,0.9952582716941833,0.9915066361427307,0.9942070245742798,0.9877489805221558,nan,925.986652135849,0.9994069964163644
12,0.04639424756169319,0.9906104803085327,0.9966104030609131,0.9932751655578613,0.9954293966293335,0.9906104803085327,nan,925.0319645404816,0.9996904535239084
13,0.043972648680210114,0.9906686544418335,0.9963319897651672,0.9931802749633789,0.9949246644973755,0.9906686544418335,nan,936.9772651195526,0.9997499577222552
14,0.04209251329302788,0.987873911857605,0.9956676959991455,0.9916305541992188,0.9947624206542969,0.987873911857605,nan,947.714597940445,0.9997308938598632
15,0.040774356573820114,0.9853794574737549,0.9939624071121216,0.9886449575424194,0.9932531714439392,0.9853794574737549,nan,924.498851776123,0.9996071664210728
16,0.039829641580581665,0.9813562631607056,0.9932310581207275,0.9872269630432129,0.9927961826324463,0.9813562631607056,nan,924.7894127368927,0.999548349206107
17,0.038760822266340256,0.9855345487594604,0.9941290616989136,0.9894242286682129,0.9934022426605225,0.9855345487594604,nan,936.1977078914642,0.9997566793823243
18,0.038651857525110245,0.9725161790847778,0.9904297590255737,0.9800868034362793,0.9903753995895386,0.9725161790847778,nan,921.5735640525818,0.9990275905173166
19,0.11161350458860397,0.8733584880828857,0.8885560035705566,0.8829853534698486,0.8891697525978088,0.8733584880828857,nan,923.2440078258514,0.7973868124900343
20,0.4512113332748413,0.5,0.5,0.5,0.5,0.5,nan,923.825012922287,3.292504118248222e-07

