epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,balanced_accuracy_const_1,elapsed,mean_valid
0,0.4506986439228058,0.4998890161514282,0.49992531538009644,0.4999076724052429,0.4998890161514282,0.4999966621398926,nan,931.9078569412231,0.9997114973340716
1,0.6117350459098816,0.4999764859676361,0.4999764859676361,0.5000253319740295,0.5000771880149841,0.5000074505805969,nan,935.236546754837,0.998919453149523
2,0.6712088584899902,0.5,0.5,0.5,0.5,0.5,nan,935.7058870792389,0.9991722106933594
3,0.7009455561637878,0.5,0.5,0.5,0.5,0.5,nan,949.8908660411835,0.9991722106933594
4,0.7187895774841309,0.5,0.5,0.5,0.5,0.5,nan,935.1171429157257,0.9991722106933594
5,0.7306869029998779,0.5,0.5,0.5,0.5,0.5,nan,933.6026089191437,0.9991722106933594
6,0.7391849756240845,0.5,0.5,0.5,0.5,0.5,nan,948.9657726287842,0.9991722106933594
7,0.7455585598945618,0.5,0.5,0.5,0.5,0.5,nan,938.6463830471039,0.9991722106933594
8,0.7505146861076355,0.5,0.5,0.5,0.5,0.5,nan,938.9527795314789,0.9991722106933594
9,0.7544795274734497,0.5,0.5,0.5,0.5,0.5,nan,950.4999206066132,0.9991722106933594
10,0.7577234506607056,0.5,0.5,0.5,0.5,0.5,nan,938.3643801212311,0.9991722106933594

11,0.7604267597198486,0.5,0.5,0.5,0.5,0.5,nan,938.8384189605713,0.9991722106933594
12,0.7627142071723938,0.5,0.5,0.5,0.5,0.5,nan,963.3030114173889,0.9991722106933594
13,0.7646748423576355,0.5,0.5,0.5,0.5,0.5,nan,967.4630401134491,0.9991722106933594
14,0.7663740515708923,0.5,0.5,0.5,0.5,0.5,nan,967.0955514907837,0.9991722106933594
15,0.7678622007369995,0.5,0.5,0.5,0.5,0.5,nan,979.0692868232727,0.9991722106933594
16,0.769172728061676,0.5,0.5,0.5,0.5,0.5,nan,958.1504189968109,0.9991722106933594
17,0.7703376412391663,0.5,0.5,0.5,0.5,0.5,nan,975.3788981437683,0.9991722106933594
18,0.7713799476623535,0.5,0.5,0.5,0.5,0.5,nan,977.1099257469177,0.9991722106933594
19,0.7723180055618286,0.5,0.5,0.5,0.5,0.5,nan,965.5215604305267,0.9991722106933594
20,0.7731667160987854,0.5,0.5,0.5,0.5,0.5,nan,967.1213500499725,0.9991722106933594

