,Passenger,Freight,Empty,Long,Reinforced,LongPassenger,2Passenger,2Freight,3Wagons,2Long,TypeA,TypeB,TypeC
max,0.9227077629913504,0.7448219743148058,0.9853324412430822,0.8726605553457364,0.8516402217317174,0.941860500127566,0.9134836022116555,0.8119887000194104,0.922709238257004,0.8822074301474148,0.9990673409841259,0.9978907470258721,0.972299434703682
max_encoding,N[0],N[5],N[2],N[9],N[4],N[6],N[0],N[5],N[5],N[9],N[4],N[7],N[2]
min,0.4503356664328567,0.23987722557874763,0.12355298958139188,0.2846923168876721,0.49660739766645157,0.5790672079659771,0.5300219140253234,0.2942679806616618,0.553369343829947,0.46920972083876294,0.38246639697224705,0.45538931640576097,0.07423775026441423
min_encoding,N[1],N[2],N[3],N[0],N[0],N[2],N[2],N[2],N[2],N[2],N[1],N[2],N[3]
