epoch,loss,balanced_accuracy,balanced_accuracy_Other,balanced_accuracy_TypeA,balanced_accuracy_TypeB,balanced_accuracy_TypeC,elapsed,mean_valid
0,0.28976529836654663,0.49998220801353455,0.500160276889801,0.49998220801353455,0.5010391473770142,0.5000588893890381,953.8269190788269,0.9994526162992204
1,0.4465564489364624,0.5,0.5,0.5,0.5,0.5,967.9624176025391,0.9997622370692661
2,0.498820960521698,0.5,0.5,0.5,0.5,0.5,959.5623407363892,0.9997622370692661
3,0.5249520540237427,0.5,0.5,0.5,0.5,0.5,956.4145572185516,0.9997622370692661
4,0.5406307578086853,0.5,0.5,0.5,0.5,0.5,952.9160387516022,0.9997622370692661
5,0.5510827898979187,0.5,0.5,0.5,0.5,0.5,950.3056564331055,0.9997622370692661

